38;[30, 40[;[20, 40[;[0, 40[;[0, 80[;[0, 160[;[0, 300[;*
40;[40, 50[;[40, 60[;[40, 80[;[0, 80[;[0, 160[;[0, 300[;*
41;[40, 50[;[40, 60[;[40, 80[;[0, 80[;[0, 160[;[0, 300[;*
42;[40, 50[;[40, 60[;[40, 80[;[0, 80[;[0, 160[;[0, 300[;*
44;[40, 50[;[40, 60[;[40, 80[;[0, 80[;[0, 160[;[0, 300[;*
45;[40, 50[;[40, 60[;[40, 80[;[0, 80[;[0, 160[;[0, 300[;*
46;[40, 50[;[40, 60[;[40, 80[;[0, 80[;[0, 160[;[0, 300[;*
47;[40, 50[;[40, 60[;[40, 80[;[0, 80[;[0, 160[;[0, 300[;*
48;[40, 50[;[40, 60[;[40, 80[;[0, 80[;[0, 160[;[0, 300[;*
49;[40, 50[;[40, 60[;[40, 80[;[0, 80[;[0, 160[;[0, 300[;*
50;[50, 60[;[40, 60[;[40, 80[;[0, 80[;[0, 160[;[0, 300[;*
51;[50, 60[;[40, 60[;[40, 80[;[0, 80[;[0, 160[;[0, 300[;*
52;[50, 60[;[40, 60[;[40, 80[;[0, 80[;[0, 160[;[0, 300[;*
53;[50, 60[;[40, 60[;[40, 80[;[0, 80[;[0, 160[;[0, 300[;*
54;[50, 60[;[40, 60[;[40, 80[;[0, 80[;[0, 160[;[0, 300[;*
55;[50, 60[;[40, 60[;[40, 80[;[0, 80[;[0, 160[;[0, 300[;*
56;[50, 60[;[40, 60[;[40, 80[;[0, 80[;[0, 160[;[0, 300[;*
57;[50, 60[;[40, 60[;[40, 80[;[0, 80[;[0, 160[;[0, 300[;*
58;[50, 60[;[40, 60[;[40, 80[;[0, 80[;[0, 160[;[0, 300[;*
59;[50, 60[;[40, 60[;[40, 80[;[0, 80[;[0, 160[;[0, 300[;*
60;[60, 70[;[60, 80[;[40, 80[;[0, 80[;[0, 160[;[0, 300[;*
61;[60, 70[;[60, 80[;[40, 80[;[0, 80[;[0, 160[;[0, 300[;*
62;[60, 70[;[60, 80[;[40, 80[;[0, 80[;[0, 160[;[0, 300[;*
63;[60, 70[;[60, 80[;[40, 80[;[0, 80[;[0, 160[;[0, 300[;*
64;[60, 70[;[60, 80[;[40, 80[;[0, 80[;[0, 160[;[0, 300[;*
65;[60, 70[;[60, 80[;[40, 80[;[0, 80[;[0, 160[;[0, 300[;*
66;[60, 70[;[60, 80[;[40, 80[;[0, 80[;[0, 160[;[0, 300[;*
67;[60, 70[;[60, 80[;[40, 80[;[0, 80[;[0, 160[;[0, 300[;*
68;[60, 70[;[60, 80[;[40, 80[;[0, 80[;[0, 160[;[0, 300[;*
69;[60, 70[;[60, 80[;[40, 80[;[0, 80[;[0, 160[;[0, 300[;*
70;[70, 80[;[60, 80[;[40, 80[;[0, 80[;[0, 160[;[0, 300[;*
71;[70, 80[;[60, 80[;[40, 80[;[0, 80[;[0, 160[;[0, 300[;*
72;[70, 80[;[60, 80[;[40, 80[;[0, 80[;[0, 160[;[0, 300[;*
73;[70, 80[;[60, 80[;[40, 80[;[0, 80[;[0, 160[;[0, 300[;*
74;[70, 80[;[60, 80[;[40, 80[;[0, 80[;[0, 160[;[0, 300[;*
75;[70, 80[;[60, 80[;[40, 80[;[0, 80[;[0, 160[;[0, 300[;*
76;[70, 80[;[60, 80[;[40, 80[;[0, 80[;[0, 160[;[0, 300[;*
77;[70, 80[;[60, 80[;[40, 80[;[0, 80[;[0, 160[;[0, 300[;*
78;[70, 80[;[60, 80[;[40, 80[;[0, 80[;[0, 160[;[0, 300[;*
79;[70, 80[;[60, 80[;[40, 80[;[0, 80[;[0, 160[;[0, 300[;*
80;[80, 90[;[80, 100[;[80, 120[;[80, 160[;[0, 160[;[0, 300[;*
81;[80, 90[;[80, 100[;[80, 120[;[80, 160[;[0, 160[;[0, 300[;*
82;[80, 90[;[80, 100[;[80, 120[;[80, 160[;[0, 160[;[0, 300[;*
