38;[35, 40[;[30, 40[;[20, 40[;[0, 40[;[0, 80[;[0, 160[;*
40;[40, 45[;[40, 50[;[40, 60[;[40, 80[;[0, 80[;[0, 160[;*
41;[40, 45[;[40, 50[;[40, 60[;[40, 80[;[0, 80[;[0, 160[;*
42;[40, 45[;[40, 50[;[40, 60[;[40, 80[;[0, 80[;[0, 160[;*
44;[40, 45[;[40, 50[;[40, 60[;[40, 80[;[0, 80[;[0, 160[;*
45;[45, 50[;[40, 50[;[40, 60[;[40, 80[;[0, 80[;[0, 160[;*
46;[45, 50[;[40, 50[;[40, 60[;[40, 80[;[0, 80[;[0, 160[;*
47;[45, 50[;[40, 50[;[40, 60[;[40, 80[;[0, 80[;[0, 160[;*
48;[45, 50[;[40, 50[;[40, 60[;[40, 80[;[0, 80[;[0, 160[;*
49;[45, 50[;[40, 50[;[40, 60[;[40, 80[;[0, 80[;[0, 160[;*
50;[50, 55[;[50, 60[;[40, 60[;[40, 80[;[0, 80[;[0, 160[;*
51;[50, 55[;[50, 60[;[40, 60[;[40, 80[;[0, 80[;[0, 160[;*
52;[50, 55[;[50, 60[;[40, 60[;[40, 80[;[0, 80[;[0, 160[;*
53;[50, 55[;[50, 60[;[40, 60[;[40, 80[;[0, 80[;[0, 160[;*
54;[50, 55[;[50, 60[;[40, 60[;[40, 80[;[0, 80[;[0, 160[;*
55;[55, 60[;[50, 60[;[40, 60[;[40, 80[;[0, 80[;[0, 160[;*
56;[55, 60[;[50, 60[;[40, 60[;[40, 80[;[0, 80[;[0, 160[;*
57;[55, 60[;[50, 60[;[40, 60[;[40, 80[;[0, 80[;[0, 160[;*
58;[55, 60[;[50, 60[;[40, 60[;[40, 80[;[0, 80[;[0, 160[;*
59;[55, 60[;[50, 60[;[40, 60[;[40, 80[;[0, 80[;[0, 160[;*
60;[60, 65[;[60, 70[;[60, 80[;[40, 80[;[0, 80[;[0, 160[;*
61;[60, 65[;[60, 70[;[60, 80[;[40, 80[;[0, 80[;[0, 160[;*
62;[60, 65[;[60, 70[;[60, 80[;[40, 80[;[0, 80[;[0, 160[;*
63;[60, 65[;[60, 70[;[60, 80[;[40, 80[;[0, 80[;[0, 160[;*
64;[60, 65[;[60, 70[;[60, 80[;[40, 80[;[0, 80[;[0, 160[;*
65;[65, 70[;[60, 70[;[60, 80[;[40, 80[;[0, 80[;[0, 160[;*
66;[65, 70[;[60, 70[;[60, 80[;[40, 80[;[0, 80[;[0, 160[;*
67;[65, 70[;[60, 70[;[60, 80[;[40, 80[;[0, 80[;[0, 160[;*
68;[65, 70[;[60, 70[;[60, 80[;[40, 80[;[0, 80[;[0, 160[;*
69;[65, 70[;[60, 70[;[60, 80[;[40, 80[;[0, 80[;[0, 160[;*
70;[70, 75[;[70, 80[;[60, 80[;[40, 80[;[0, 80[;[0, 160[;*
71;[70, 75[;[70, 80[;[60, 80[;[40, 80[;[0, 80[;[0, 160[;*
72;[70, 75[;[70, 80[;[60, 80[;[40, 80[;[0, 80[;[0, 160[;*
73;[70, 75[;[70, 80[;[60, 80[;[40, 80[;[0, 80[;[0, 160[;*
74;[70, 75[;[70, 80[;[60, 80[;[40, 80[;[0, 80[;[0, 160[;*
75;[75, 80[;[70, 80[;[60, 80[;[40, 80[;[0, 80[;[0, 160[;*
76;[75, 80[;[70, 80[;[60, 80[;[40, 80[;[0, 80[;[0, 160[;*
77;[75, 80[;[70, 80[;[60, 80[;[40, 80[;[0, 80[;[0, 160[;*
78;[75, 80[;[70, 80[;[60, 80[;[40, 80[;[0, 80[;[0, 160[;*
79;[75, 80[;[70, 80[;[60, 80[;[40, 80[;[0, 80[;[0, 160[;*
80;[80, 85[;[80, 90[;[80, 100[;[80, 120[;[80, 160[;[0, 160[;*
81;[80, 85[;[80, 90[;[80, 100[;[80, 120[;[80, 160[;[0, 160[;*
